uid,post_body_text,primary_product,petrochemical_product,ff_infrastructure_OR_production,green_message,renewable_energy,emissions_reduction,false_solutions,recycling,green,brown,misc,url,junkipedia_url,format,platform,title,content,media,published_at,created_at,engagement,channel_name,handle,channel_url,profile_image,bio,transcript_text,channel_uid
t-S8qD7wIu4,ExxonMobil's Tze San Koh explains how natural gas is supporting a brighter future.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.youtube.com/watch?v=t-S8qD7wIu4,https://www.junkipedia.org/posts/10949598,video,YouTube,Energy transition towards a lower carbon future,ExxonMobil's Tze San Koh explains how natural gas is supporting a brighter future.,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQW5YM3dFPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--7561f1d83a5437187f84c7d51207de3e4ae73ec4/post-2958952-10949598-thumbnail,2021-08-20T13:48:16Z,2021-09-15T10:26:37Z,4748,ExxonMobil,exxonmobil,https://www.youtube.com/channel/UCvNc3rg1Aa9wSPECYWEfcPg,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeGZGVEE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c3d104a2821d99a0496cdecce847f58e8cccb356/AKedOLSKaJdk0PgjvA-EQcBt0uAGruHoltubUtiPIUMu=s88-c-k-c0x00ffffff-no-rj,"The need for energy is universal. That's why ExxonMobil scientists and engineers are pioneering new research and pursuing new technologies to reduce emissions while creating more efficient fuels. 

We're committed to responsibly meeting the world's energy needs.

We aim to achieve #netzero emissions from our operated assets by 2050 (for Scope 1 and 2 greenhouse gas emissions) and are taking a comprehensive approach to create emission-reduction roadmaps for major operated assets. 
 
▶️Subscribe for the latest in lower-emission technologies and advancements. 
 
Find us also on:
Linkedin.com/company/exxonmobil
Twitter.com/ExxonMobil
Facebook.com/ExxonMobil
Instagram.com/ExxonMobil
YouTube.com/ExxonMobil
ExxonMobil.com 

Find our latest Privacy Policy at https://corporate.exxonmobil.com/Global-legal-pages/privacy-policy

See our terms and conditions, including corporate separateness, at https://corporate.exxonmobil.com/global-legal-pages/terms-and-conditions
",NA,UCvNc3rg1Aa9wSPECYWEfcPg
JDoXJTzZH34,Subscribe now: https://www.youtube.com/user/exxonmobil?sub_confirmation=1 We're committed to supporting our health ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.youtube.com/watch?v=JDoXJTzZH34,https://www.junkipedia.org/posts/10949614,video,YouTube,Energy &amp; Healthcare: Driving Innovation In Healthcare PPE | ExxonMobil,Subscribe now: https://www.youtube.com/user/exxonmobil?sub_confirmation=1 We're committed to supporting our health ...,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQnZYM3dFPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--1171bfa187af9a4540416bf0a4b813ef50336cbd/post-2958952-10949614-thumbnail,2021-08-19T20:55:02Z,2021-09-15T10:26:38Z,2213,ExxonMobil,exxonmobil,https://www.youtube.com/channel/UCvNc3rg1Aa9wSPECYWEfcPg,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeGZGVEE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c3d104a2821d99a0496cdecce847f58e8cccb356/AKedOLSKaJdk0PgjvA-EQcBt0uAGruHoltubUtiPIUMu=s88-c-k-c0x00ffffff-no-rj,"The need for energy is universal. That's why ExxonMobil scientists and engineers are pioneering new research and pursuing new technologies to reduce emissions while creating more efficient fuels. 

We're committed to responsibly meeting the world's energy needs.

We aim to achieve #netzero emissions from our operated assets by 2050 (for Scope 1 and 2 greenhouse gas emissions) and are taking a comprehensive approach to create emission-reduction roadmaps for major operated assets. 
 
▶️Subscribe for the latest in lower-emission technologies and advancements. 
 
Find us also on:
Linkedin.com/company/exxonmobil
Twitter.com/ExxonMobil
Facebook.com/ExxonMobil
Instagram.com/ExxonMobil
YouTube.com/ExxonMobil
ExxonMobil.com 

Find our latest Privacy Policy at https://corporate.exxonmobil.com/Global-legal-pages/privacy-policy

See our terms and conditions, including corporate separateness, at https://corporate.exxonmobil.com/global-legal-pages/terms-and-conditions
",NA,UCvNc3rg1Aa9wSPECYWEfcPg
b9zueiSUSJc,ExxonMobil is working with Bridger Photonics to use LiDAR technology to detect methane leaks. This groundbreaking technology ...,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,https://www.youtube.com/watch?v=b9zueiSUSJc,https://www.junkipedia.org/posts/10949659,video,YouTube,Detecting Methane Leaks With LiDAR Technology | ExxonMobil,ExxonMobil is working with Bridger Photonics to use LiDAR technology to detect methane leaks. This groundbreaking technology ...,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCRlhYM3dFPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e2dfc90aabd873f358a77f5a5a482516768cf73d/post-2958952-10949659-thumbnail,2021-08-05T19:02:17Z,2021-09-15T10:26:38Z,6553,ExxonMobil,exxonmobil,https://www.youtube.com/channel/UCvNc3rg1Aa9wSPECYWEfcPg,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeGZGVEE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c3d104a2821d99a0496cdecce847f58e8cccb356/AKedOLSKaJdk0PgjvA-EQcBt0uAGruHoltubUtiPIUMu=s88-c-k-c0x00ffffff-no-rj,"The need for energy is universal. That's why ExxonMobil scientists and engineers are pioneering new research and pursuing new technologies to reduce emissions while creating more efficient fuels. 

We're committed to responsibly meeting the world's energy needs.

We aim to achieve #netzero emissions from our operated assets by 2050 (for Scope 1 and 2 greenhouse gas emissions) and are taking a comprehensive approach to create emission-reduction roadmaps for major operated assets. 
 
▶️Subscribe for the latest in lower-emission technologies and advancements. 
 
Find us also on:
Linkedin.com/company/exxonmobil
Twitter.com/ExxonMobil
Facebook.com/ExxonMobil
Instagram.com/ExxonMobil
YouTube.com/ExxonMobil
ExxonMobil.com 

Find our latest Privacy Policy at https://corporate.exxonmobil.com/Global-legal-pages/privacy-policy

See our terms and conditions, including corporate separateness, at https://corporate.exxonmobil.com/global-legal-pages/terms-and-conditions
",NA,UCvNc3rg1Aa9wSPECYWEfcPg
jxnY1qYx_mk,"ExxonMobil is committed to reducing emissions. With our innovative energy solutions and our transformative research, we are ...",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.youtube.com/watch?v=jxnY1qYx_mk,https://www.junkipedia.org/posts/10949764,video,YouTube,Reducing Carbon Emissions With Innovative Energy Solutions | ExxonMobil,"ExxonMobil is committed to reducing emissions. With our innovative energy solutions and our transformative research, we are ...",https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCTFRYM3dFPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--1d7ad6fcfd52b87163b04a9dc373fc4ff989a888/post-2958952-10949764-thumbnail,2021-02-24T18:43:12Z,2021-09-15T10:26:39Z,17382,ExxonMobil,exxonmobil,https://www.youtube.com/channel/UCvNc3rg1Aa9wSPECYWEfcPg,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeGZGVEE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c3d104a2821d99a0496cdecce847f58e8cccb356/AKedOLSKaJdk0PgjvA-EQcBt0uAGruHoltubUtiPIUMu=s88-c-k-c0x00ffffff-no-rj,"The need for energy is universal. That's why ExxonMobil scientists and engineers are pioneering new research and pursuing new technologies to reduce emissions while creating more efficient fuels. 

We're committed to responsibly meeting the world's energy needs.

We aim to achieve #netzero emissions from our operated assets by 2050 (for Scope 1 and 2 greenhouse gas emissions) and are taking a comprehensive approach to create emission-reduction roadmaps for major operated assets. 
 
▶️Subscribe for the latest in lower-emission technologies and advancements. 
 
Find us also on:
Linkedin.com/company/exxonmobil
Twitter.com/ExxonMobil
Facebook.com/ExxonMobil
Instagram.com/ExxonMobil
YouTube.com/ExxonMobil
ExxonMobil.com 

Find our latest Privacy Policy at https://corporate.exxonmobil.com/Global-legal-pages/privacy-policy

See our terms and conditions, including corporate separateness, at https://corporate.exxonmobil.com/global-legal-pages/terms-and-conditions
",NA,UCvNc3rg1Aa9wSPECYWEfcPg
iZtmqtYquIs,"Learn more about ExxonMobil in Thailand which include upstream, downstream, chemicals and global business center via the ...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.youtube.com/watch?v=iZtmqtYquIs,https://www.junkipedia.org/posts/10949794,video,YouTube,Discover ExxonMobil in Thailand,"Learn more about ExxonMobil in Thailand which include upstream, downstream, chemicals and global business center via the ...",https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCTnpYM3dFPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--f991062eb90e9f1dd8d22f73b41c0be68a6ebfde/post-2958952-10949794-thumbnail,2021-01-19T16:28:04Z,2021-09-15T10:26:40Z,5247,ExxonMobil,exxonmobil,https://www.youtube.com/channel/UCvNc3rg1Aa9wSPECYWEfcPg,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeGZGVEE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c3d104a2821d99a0496cdecce847f58e8cccb356/AKedOLSKaJdk0PgjvA-EQcBt0uAGruHoltubUtiPIUMu=s88-c-k-c0x00ffffff-no-rj,"The need for energy is universal. That's why ExxonMobil scientists and engineers are pioneering new research and pursuing new technologies to reduce emissions while creating more efficient fuels. 

We're committed to responsibly meeting the world's energy needs.

We aim to achieve #netzero emissions from our operated assets by 2050 (for Scope 1 and 2 greenhouse gas emissions) and are taking a comprehensive approach to create emission-reduction roadmaps for major operated assets. 
 
▶️Subscribe for the latest in lower-emission technologies and advancements. 
 
Find us also on:
Linkedin.com/company/exxonmobil
Twitter.com/ExxonMobil
Facebook.com/ExxonMobil
Instagram.com/ExxonMobil
YouTube.com/ExxonMobil
ExxonMobil.com 

Find our latest Privacy Policy at https://corporate.exxonmobil.com/Global-legal-pages/privacy-policy

See our terms and conditions, including corporate separateness, at https://corporate.exxonmobil.com/global-legal-pages/terms-and-conditions
",NA,UCvNc3rg1Aa9wSPECYWEfcPg
80BtJQB7Gd4,"How do you reduce methane gas emissions? Learn how Project Astra, ExxonMobil's partnership with the University of Texas, Gas ...",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,https://www.youtube.com/watch?v=80BtJQB7Gd4,https://www.junkipedia.org/posts/10949805,video,YouTube,Reducing Methane Emissions &amp; Pollution | ExxonMobil,"How do you reduce methane gas emissions? Learn how Project Astra, ExxonMobil's partnership with the University of Texas, Gas ...",https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCUEhYM3dFPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--cd42631e2bdefe7531551a64c8c6d2f97fd702c5/post-2958952-10949805-thumbnail,2021-01-15T21:55:57Z,2021-09-15T10:26:40Z,174472,ExxonMobil,exxonmobil,https://www.youtube.com/channel/UCvNc3rg1Aa9wSPECYWEfcPg,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeGZGVEE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c3d104a2821d99a0496cdecce847f58e8cccb356/AKedOLSKaJdk0PgjvA-EQcBt0uAGruHoltubUtiPIUMu=s88-c-k-c0x00ffffff-no-rj,"The need for energy is universal. That's why ExxonMobil scientists and engineers are pioneering new research and pursuing new technologies to reduce emissions while creating more efficient fuels. 

We're committed to responsibly meeting the world's energy needs.

We aim to achieve #netzero emissions from our operated assets by 2050 (for Scope 1 and 2 greenhouse gas emissions) and are taking a comprehensive approach to create emission-reduction roadmaps for major operated assets. 
 
▶️Subscribe for the latest in lower-emission technologies and advancements. 
 
Find us also on:
Linkedin.com/company/exxonmobil
Twitter.com/ExxonMobil
Facebook.com/ExxonMobil
Instagram.com/ExxonMobil
YouTube.com/ExxonMobil
ExxonMobil.com 

Find our latest Privacy Policy at https://corporate.exxonmobil.com/Global-legal-pages/privacy-policy

See our terms and conditions, including corporate separateness, at https://corporate.exxonmobil.com/global-legal-pages/terms-and-conditions
",NA,UCvNc3rg1Aa9wSPECYWEfcPg
i9q1hrYg2Rg,Across the world more than one billion people live in a state of energy poverty. Access to reliable and safe energy helps improve ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.youtube.com/watch?v=i9q1hrYg2Rg,https://www.junkipedia.org/posts/10949866,video,YouTube,Supplying energy to the people who need it the most | ExxonMobil,Across the world more than one billion people live in a state of energy poverty. Access to reliable and safe energy helps improve ...,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCR2ZZM3dFPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--de116e84dfe7edb8abcc4eccfc37cc202543cae0/post-2958952-10949866-thumbnail,2020-10-23T19:01:03Z,2021-09-15T10:26:41Z,3943,ExxonMobil,exxonmobil,https://www.youtube.com/channel/UCvNc3rg1Aa9wSPECYWEfcPg,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeGZGVEE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c3d104a2821d99a0496cdecce847f58e8cccb356/AKedOLSKaJdk0PgjvA-EQcBt0uAGruHoltubUtiPIUMu=s88-c-k-c0x00ffffff-no-rj,"The need for energy is universal. That's why ExxonMobil scientists and engineers are pioneering new research and pursuing new technologies to reduce emissions while creating more efficient fuels. 

We're committed to responsibly meeting the world's energy needs.

We aim to achieve #netzero emissions from our operated assets by 2050 (for Scope 1 and 2 greenhouse gas emissions) and are taking a comprehensive approach to create emission-reduction roadmaps for major operated assets. 
 
▶️Subscribe for the latest in lower-emission technologies and advancements. 
 
Find us also on:
Linkedin.com/company/exxonmobil
Twitter.com/ExxonMobil
Facebook.com/ExxonMobil
Instagram.com/ExxonMobil
YouTube.com/ExxonMobil
ExxonMobil.com 

Find our latest Privacy Policy at https://corporate.exxonmobil.com/Global-legal-pages/privacy-policy

See our terms and conditions, including corporate separateness, at https://corporate.exxonmobil.com/global-legal-pages/terms-and-conditions
",NA,UCvNc3rg1Aa9wSPECYWEfcPg
25wgcJGN7QU,We're helping those on the front lines of fighting the pandemic with critical supplies. We're #AllTogether in this.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.youtube.com/watch?v=25wgcJGN7QU,https://www.junkipedia.org/posts/10950016,video,YouTube,Meeting critical demand in an unprecedented time,We're helping those on the front lines of fighting the pandemic with critical supplies. We're #AllTogether in this.,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCTHZaM3dFPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--ef26416ca473208a22e2826f158d4c0136f7618f/post-2958952-10950016-thumbnail,2020-05-19T21:26:57Z,2021-09-15T10:26:43Z,8545,ExxonMobil,exxonmobil,https://www.youtube.com/channel/UCvNc3rg1Aa9wSPECYWEfcPg,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeGZGVEE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c3d104a2821d99a0496cdecce847f58e8cccb356/AKedOLSKaJdk0PgjvA-EQcBt0uAGruHoltubUtiPIUMu=s88-c-k-c0x00ffffff-no-rj,"The need for energy is universal. That's why ExxonMobil scientists and engineers are pioneering new research and pursuing new technologies to reduce emissions while creating more efficient fuels. 

We're committed to responsibly meeting the world's energy needs.

We aim to achieve #netzero emissions from our operated assets by 2050 (for Scope 1 and 2 greenhouse gas emissions) and are taking a comprehensive approach to create emission-reduction roadmaps for major operated assets. 
 
▶️Subscribe for the latest in lower-emission technologies and advancements. 
 
Find us also on:
Linkedin.com/company/exxonmobil
Twitter.com/ExxonMobil
Facebook.com/ExxonMobil
Instagram.com/ExxonMobil
YouTube.com/ExxonMobil
ExxonMobil.com 

Find our latest Privacy Policy at https://corporate.exxonmobil.com/Global-legal-pages/privacy-policy

See our terms and conditions, including corporate separateness, at https://corporate.exxonmobil.com/global-legal-pages/terms-and-conditions
",NA,UCvNc3rg1Aa9wSPECYWEfcPg
inb3ARyVki4,ExxonMobil is committed to helping our communities throughout the COVID-19 crisis. Watch how. Subscribe now: ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.youtube.com/watch?v=inb3ARyVki4,https://www.junkipedia.org/posts/10950029,video,YouTube,Supporting Frontline Workers With Hand Sanitizer | ExxonMobil,ExxonMobil is committed to helping our communities throughout the COVID-19 crisis. Watch how. Subscribe now: ...,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCT1BaM3dFPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--2eeb093c63ff61ddd76be45fbd88f65494fe5407/post-2958952-10950029-thumbnail,2020-05-12T18:49:22Z,2021-09-15T10:26:43Z,37981511,ExxonMobil,exxonmobil,https://www.youtube.com/channel/UCvNc3rg1Aa9wSPECYWEfcPg,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeGZGVEE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c3d104a2821d99a0496cdecce847f58e8cccb356/AKedOLSKaJdk0PgjvA-EQcBt0uAGruHoltubUtiPIUMu=s88-c-k-c0x00ffffff-no-rj,"The need for energy is universal. That's why ExxonMobil scientists and engineers are pioneering new research and pursuing new technologies to reduce emissions while creating more efficient fuels. 

We're committed to responsibly meeting the world's energy needs.

We aim to achieve #netzero emissions from our operated assets by 2050 (for Scope 1 and 2 greenhouse gas emissions) and are taking a comprehensive approach to create emission-reduction roadmaps for major operated assets. 
 
▶️Subscribe for the latest in lower-emission technologies and advancements. 
 
Find us also on:
Linkedin.com/company/exxonmobil
Twitter.com/ExxonMobil
Facebook.com/ExxonMobil
Instagram.com/ExxonMobil
YouTube.com/ExxonMobil
ExxonMobil.com 

Find our latest Privacy Policy at https://corporate.exxonmobil.com/Global-legal-pages/privacy-policy

See our terms and conditions, including corporate separateness, at https://corporate.exxonmobil.com/global-legal-pages/terms-and-conditions
",NA,UCvNc3rg1Aa9wSPECYWEfcPg
5-KnlZctDS4,"Join Sebastien Ferard, NDG process manager and operations director at ExxonMobil Gravenchon, as he explores the Women's ...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.youtube.com/watch?v=5-KnlZctDS4,https://www.junkipedia.org/posts/10950129,video,YouTube,Male Advocates for Inclusion: Sebastien’s Story,"Join Sebastien Ferard, NDG process manager and operations director at ExxonMobil Gravenchon, as he explores the Women's ...",https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSFhhM3dFPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--a0c84feb5ffb68a2e0ba91b4efcf8bc6c9fb4fcf/post-2958952-10950129-thumbnail,2020-01-22T15:42:56Z,2021-09-15T10:26:45Z,2374,ExxonMobil,exxonmobil,https://www.youtube.com/channel/UCvNc3rg1Aa9wSPECYWEfcPg,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeGZGVEE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c3d104a2821d99a0496cdecce847f58e8cccb356/AKedOLSKaJdk0PgjvA-EQcBt0uAGruHoltubUtiPIUMu=s88-c-k-c0x00ffffff-no-rj,"The need for energy is universal. That's why ExxonMobil scientists and engineers are pioneering new research and pursuing new technologies to reduce emissions while creating more efficient fuels. 

We're committed to responsibly meeting the world's energy needs.

We aim to achieve #netzero emissions from our operated assets by 2050 (for Scope 1 and 2 greenhouse gas emissions) and are taking a comprehensive approach to create emission-reduction roadmaps for major operated assets. 
 
▶️Subscribe for the latest in lower-emission technologies and advancements. 
 
Find us also on:
Linkedin.com/company/exxonmobil
Twitter.com/ExxonMobil
Facebook.com/ExxonMobil
Instagram.com/ExxonMobil
YouTube.com/ExxonMobil
ExxonMobil.com 

Find our latest Privacy Policy at https://corporate.exxonmobil.com/Global-legal-pages/privacy-policy

See our terms and conditions, including corporate separateness, at https://corporate.exxonmobil.com/global-legal-pages/terms-and-conditions
",NA,UCvNc3rg1Aa9wSPECYWEfcPg
